pincode,Deliverystatus,divisionname,regionname,circlename,Districtname,statename,longitude,latitude
110001,Delivery,New Delhi GPO,Delhi,Delhi,New Delhi,DELHI,NA,NA
110002,Delivery,New Delhi Central,Delhi,Delhi,Central Delhi,DELHI,NA,NA
110003,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110004,Delivery,New Delhi Central,Delhi,Delhi,Central Delhi,DELHI,NA,NA
110005,Delivery,New Delhi Central,Delhi,Delhi,Central Delhi,DELHI,NA,NA
110006,Delivery,Delhi GPO,Delhi,Delhi,North Delhi,DELHI,NA,NA
110007,Delivery,Delhi North,Delhi,Delhi,North Delhi,DELHI,NA,NA
110008,Delivery,New Delhi Central,Delhi,Delhi,Central Delhi,DELHI,NA,NA
110009,Delivery,Delhi North,Delhi,Delhi,North West Delhi,DELHI,NA,NA
110010,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110011,Delivery,New Delhi Central,Delhi,Delhi,Central Delhi,DELHI,NA,NA
110012,Delivery,New Delhi Central,Delhi,Delhi,Central Delhi,DELHI,NA,NA
110013,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110014,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110015,Delivery,New Delhi West,Delhi,Delhi,West Delhi,DELHI,NA,NA
110016,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110017,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110018,Delivery,New Delhi West,Delhi,Delhi,West Delhi,DELHI,NA,NA
110019,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110020,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110021,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110022,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110023,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110024,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110025,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110026,Delivery,New Delhi West,Delhi,Delhi,West Delhi,DELHI,NA,NA
110027,Delivery,New Delhi West,Delhi,Delhi,West Delhi,DELHI,NA,NA
110028,Delivery,New Delhi West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110029,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110030,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110031,Delivery,Delhi East,Delhi,Delhi,East Delhi,DELHI,NA,NA
110032,Delivery,Delhi East,Delhi,Delhi,East Delhi,DELHI,NA,NA
110033,Delivery,Delhi North,Delhi,Delhi,North West Delhi,DELHI,NA,NA
110034,Delivery,Delhi North,Delhi,Delhi,North West Delhi,DELHI,NA,NA
110035,Delivery,Delhi North,Delhi,Delhi,North West Delhi,DELHI,NA,NA
110036,Delivery,Delhi North,Delhi,Delhi,North West Delhi,DELHI,NA,NA
110037,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110038,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110039,Delivery,Delhi North,Delhi,Delhi,North West Delhi,DELHI,NA,NA
110040,Delivery,Delhi North,Delhi,Delhi,North West Delhi,DELHI,NA,NA
110041,Delivery,New Delhi West,Delhi,Delhi,West Delhi,DELHI,NA,NA
110042,Delivery,Delhi North,Delhi,Delhi,North West Delhi,DELHI,NA,NA
110043,Delivery,New Delhi West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110044,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110045,Delivery,New Delhi West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110046,Delivery,New Delhi West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110047,Delivery,New Delhi South West,Delhi,Delhi,South West Delhi,DELHI,NA,NA
110048,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110049,Delivery,New Delhi South,Delhi,Delhi,South Delhi,DELHI,NA,NA
110051,Delivery,Delhi East,Delhi,Delhi,East Delhi,DELHI,NA,NA
121001,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121002,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121003,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121004,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121005,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121006,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121007,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121008,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121009,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121010,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121012,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121013,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121101,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121102,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121103,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121105,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121106,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
121107,Delivery,Faridabad,Ambala HQ,Haryana,Faridabad,HARYANA,NA,NA
122001,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122002,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122003,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122004,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122005,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122006,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122007,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122008,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122009,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
122010,Delivery,Gurgaon,Ambala HQ,Haryana,Gurgaon,HARYANA,NA,NA
853204,Delivery,Bhagalpur,Patna HQ,Bihar,Munger,BIHAR,NA,NA
853205,Delivery,Bhagalpur,Patna HQ,Bihar,Bhagalpur,BIHAR,NA,NA
854101,Delivery,Purnea,Muzaffarpur,Bihar,Katihar,BIHAR,NA,NA
854102,Delivery,Purnea,Muzaffarpur,Bihar,Purnia,BIHAR,NA,NA
835202,Delivery,Ranchi,Ranchi,Jharkhand,Ranchi,JHARKHAND,NA,NA
835203,Delivery,Ranchi,Ranchi,Jharkhand,Gumla,JHARKHAND,NA,NA
835204,Delivery,Ranchi,Ranchi,Jharkhand,Ranchi,JHARKHAND,NA,NA
835205,Delivery,Ranchi,Ranchi,Jharkhand,Ranchi,JHARKHAND,NA,NA
835206,Delivery,Ranchi,Ranchi,Jharkhand,Gumla,JHARKHAND,NA,NA
835207,Delivery,Ranchi,Ranchi,Jharkhand,Gumla,JHARKHAND,NA,NA
835208,Delivery,Ranchi,Ranchi,Jharkhand,Gumla,JHARKHAND,NA,NA
835209,Delivery,Ranchi,Ranchi,Jharkhand,Ranchi,JHARKHAND,NA,NA
835210,Delivery,Ranchi,Ranchi,Jharkhand,Ranchi,JHARKHAND,NA,NA
835211,Delivery,Ranchi,Ranchi,Jharkhand,Simdega,JHARKHAND,NA,NA
788120,Delivery,Cachar,Guwahati HQ,Assam,Karimganj,ASSAM,NA,NA
788121,Delivery,Cachar,Guwahati HQ,Assam,Cachar,ASSAM,NA,NA
788123,Delivery,Cachar,Guwahati HQ,Assam,Cachar,ASSAM,NA,NA
788126,Delivery,Cachar,Guwahati HQ,Assam,Cachar,ASSAM,NA,NA
788127,Delivery,Cachar,Guwahati HQ,Assam,Cachar,ASSAM,NA,NA
788150,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788151,Delivery,Cachar,Guwahati HQ,Assam,Cachar,ASSAM,NA,NA
788152,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788155,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788156,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788160,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788161,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788162,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788163,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788164,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788165,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788166,Delivery,Cachar,Guwahati HQ,Assam,Karimganj,ASSAM,NA,NA
788168,Delivery,Cachar,Guwahati HQ,Assam,Hailakandi,ASSAM,NA,NA
788701,Delivery,Cachar,Guwahati HQ,Assam,Karimganj,ASSAM,NA,NA
743249,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743251,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743252,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743262,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743263,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743268,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743270,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743271,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743272,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743273,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743286,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743287,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743289,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
743290,Delivery,Barasat,Calcutta,West Bengal,North 24 Parganas,WEST BENGAL,NA,NA
642127,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642128,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642129,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642130,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642132,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642133,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642134,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642154,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642201,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
642202,Delivery,Pollachi,Coimbatore,Tamilnadu,Coimbatore,TAMIL NADU,NA,NA
440026,Delivery,Nagpur Moffusil,Nagpur,Maharashtra,Nagpur,MAHARASHTRA,NA,NA
440027,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,MAHARASHTRA,NA,NA
440030,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,MAHARASHTRA,NA,NA
440032,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,MAHARASHTRA,NA,NA
440033,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,MAHARASHTRA,NA,NA
440034,Delivery,Nagpur City,Nagpur,Maharashtra,Nagpur,MAHARASHTRA,NA,NA
391774,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,GUJARAT,NA,NA
391775,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,GUJARAT,NA,NA
391780,Delivery,Vadodara West,Vadodara,Gujarat,Vadodara,GUJARAT,NA,NA
391810,Delivery,Bharuch,Vadodara,Gujarat,Bharuch,GUJARAT,NA,NA
392001,Delivery,Bharuch,Vadodara,Gujarat,Bharuch,GUJARAT,NA,NA
392011,Delivery,Bharuch,Vadodara,Gujarat,Bharuch,GUJARAT,NA,NA
271904,Delivery,Bahraich,Gorakhpur,Uttar Pradesh,Bahraich,UTTAR PRADESH,NA,NA
272001,Delivery,Basti,Gorakhpur,Uttar Pradesh,Basti,UTTAR PRADESH,NA,NA
271607,Delivery,Gonda,Gorakhpur,Uttar Pradesh,Balrampur,UTTAR PRADESH,NA,NA
263660,Delivery,Almora,Dehradun,Uttarakhand,Almora,UTTARAKHAND,NA,NA
209101,Delivery,Kanpur Moffusil,Kanpur,Uttar Pradesh,Unnao,UTTAR PRADESH,NA,NA
